category,playlist_channels,matched_channels,unmatched_channels,match_pct
Animation,14,11,3,78.6
Animation;Classic,1,0,1,0.0
Animation;Kids,4,3,1,75.0
Animation;Kids;Music,1,0,1,0.0
Animation;Kids;Religious,1,0,1,0.0
Auto,3,2,1,66.7
Auto;Outdoor;Series;Sports,1,0,1,0.0
Auto;Series,1,1,0,100.0
Auto;Travel,1,1,0,100.0
Business,12,6,6,50.0
Business;Documentary,2,1,1,50.0
Classic,28,14,14,50.0
Classic;Comedy,1,1,0,100.0
Classic;Movies,1,0,1,0.0
Classic;Series,1,1,0,100.0
Classic;Shop,1,0,1,0.0
Comedy,33,24,9,72.7
Comedy;Movies;Series,1,0,1,0.0
Comedy;Movies;Series;Sports,2,1,1,50.0
Comedy;Series,3,2,1,66.7
Cooking,11,6,5,54.5
Cooking;Shop,1,0,1,0.0
Culture,20,2,18,10.0
Culture;Education,1,0,1,0.0
Culture;Entertainment;Music,1,1,0,100.0
Culture;General,1,0,1,0.0
Culture;News,2,0,2,0.0
Culture;Religious,1,1,0,100.0
Documentary,35,21,14,60.0
Documentary;Entertainment,1,1,0,100.0
Documentary;News,1,0,1,0.0
Documentary;Science,1,1,0,100.0
Documentary;Series,1,1,0,100.0
Education,37,2,35,5.4
Education;General,1,0,1,0.0
Education;Kids,7,1,6,14.3
Education;Lifestyle,1,1,0,100.0
Entertainment,120,79,41,65.8
Entertainment;Family,1,0,1,0.0
Entertainment;General,1,0,1,0.0
Entertainment;Lifestyle,1,1,0,100.0
Entertainment;News,3,1,2,33.3
Entertainment;Outdoor;Series,1,1,0,100.0
Entertainment;Sports,1,1,0,100.0
Family,9,8,1,88.9
Family;Movies,1,1,0,100.0
General,203,10,193,4.9
General;Legislative,1,0,1,0.0
General;News,2,0,2,0.0
General;Religious,2,0,2,0.0
Kids,43,32,11,74.4
Kids;Movies,2,2,0,100.0
Kids;Religious,2,0,2,0.0
Legislative,92,2,90,2.2
Lifestyle,21,11,10,52.4
Lifestyle;Shop,1,0,1,0.0
Lifestyle;Travel,1,0,1,0.0
Movies,79,62,17,78.5
Movies;Religious,1,0,1,0.0
Movies;Series,17,17,0,100.0
Movies;Shop,1,0,1,0.0
Music,53,25,28,47.2
Music;Religious,2,0,2,0.0
News,97,40,57,41.2
News;Weather,2,0,2,0.0
Outdoor,14,7,7,50.0
Outdoor;Sports,1,1,0,100.0
Relax,2,0,2,0.0
Religious,112,16,96,14.3
Science,2,2,0,100.0
Series,93,78,15,83.9
Shop,13,9,4,69.2
Sports,68,45,23,66.2
Travel,11,3,8,27.3
Undefined,178,49,129,27.5
Weather,6,3,3,50.0
