id,name,tvg_name,group,reason
3ABNEnglish.us@SD,3ABN English,,Religious,no-safe-match
3ABNFrench.us@SD,3ABN French,,Religious,no-safe-match
3ABNKids.us@SD,3ABN Kids Network,,Animation;Kids;Religious,no-safe-match
3ABNPraiseHimMusicNetwork.us@SD,3ABN Praise Him Music Network,,Music;Religious,no-safe-match
30ADarcizzleOffshore.us@SD,30A Darcizzle Offshore (720p),,Outdoor,no-safe-match
30AGeorgiaHollywoodReview.us@SD,30A Georgia Hollywood Review TV (720p),,Entertainment;News,no-safe-match
30AGolfKingdom.us@SD,30A Golf Kingdom (720p),,Sports,no-safe-match
30AInvestmentPitch.us@SD,30A Investment Pitch (720p),,Business,no-safe-match
30ALionelNation.us@SD,30A Lionel Nation TV,,News,no-safe-match
30ALoomeredTV.us@SD,30A Loomered TV,,Documentary;News,no-safe-match
30ALuxeLifeDiscovered.us@SD,30A Luxe Life Discovered (720p),,Lifestyle,no-safe-match
30AMusic.us@SD,30A Music (720p),,Music,no-safe-match
30ARidiculousTV.us@SD,30A Ridiculous TV (720p),,Comedy,no-safe-match
30ASidewalks.us@SD,30A Sidewalks (720p),,Entertainment,no-safe-match
30ATelevisionChannel.us@SD,30A Television Channel (720p),,Entertainment,no-safe-match
30ATheBeachShow.us@SD,30A The Beach Show (720p),,Shop,no-safe-match
30AWeLoveCars.us@SD,30A We Love Cars (720p),,Auto,no-safe-match
KIIOLD104.us@SD,AABC TV (480p),,Culture,no-safe-match
ABC.us@East,ABC (1080p),,General,no-safe-match
KATU321.us@HD,ABC 2 Portland OR (KATU) (1080p),,General,no-safe-match
WCIV361.us@HD,ABC 4 Charleston SC (WCIV) (1080p),,Undefined,no-safe-match
KOMOTV511.us@HD,ABC 4 Seattle WA (KOMO) (1080p),,General,no-safe-match
KRGVTV51.us@HD,ABC 5,,General,no-safe-match
WCVBTV501.us@SD,ABC 5 Boston MA (WCVB) (720p),,General,no-safe-match
KSTPTV51.us@HD,ABC 5 St. Paul MN (KSTP) (1080p),,General,no-safe-match
KAAL61.us@HD,ABC 6 Austin TX (KAAL) (1080p),,General,no-safe-match
WSYX61.us@HD,ABC 6 Columbus OH (WSYX) (1080p),,Undefined,no-safe-match
KOATTV71.us@HD,ABC 7 Albuquerque NM (KOAT) (720p),,General,no-safe-match
KMGHTV71.us@HD,ABC 7 Denver CO (KMGH) (720p),,General,no-safe-match
WJLATV71.us@HD,ABC 7 Washington DC (WJLA) (1080p),,Undefined,no-safe-match
KGUNTV91.us@HD,ABC 9 Tucson AZ (KGUN) (720p),,General,no-safe-match
WDIODT101.us@HD,ABC 10 Duluth MN (WDIO) (1080p),,Undefined,no-safe-match
KGTV101.us@HD,ABC 10 San Diego CA (KGTV) (720p),,General,no-safe-match
WISNTV121.us@HD,ABC 12 Milwaukee WI (WISN) (720p),,General,no-safe-match
WLOS131.us@HD,ABC 13 Asheville NC (WLOS) (1080p),,Undefined,no-safe-match
KTNVTV331.us@HD,ABC 13 Las Vegas NV (KTNV) (720p),,General,no-safe-match
WPDETV151.us@HD,ABC 15 Myrtle Beach FL (WPDE) (1080p),,Undefined,no-safe-match
KNXVTV611.us@HD,ABC 15 Phoenix AZ (KNXV) (720p),,General,no-safe-match
WKEF451.us@SD,ABC 22 Dayton OH (WKEF) (1080p),,Undefined,no-safe-match
KEROTV231.us@HD,ABC 23 Bakersfield CA (KERO) (720p),,General,no-safe-match
KXXV251.us@HD,ABC 25 News Central Texas (720p),,General,no-safe-match
ABC.us@West,ABC West (720p),,General,no-safe-match
ABNAfghanistan.us@SD,ABN Afghanistan (540p),,Religious,no-safe-match
ABNAfrica.us@SD,ABN Africa (480p),,Religious,no-safe-match
ABNBibleMoviesChannel.us@SD,ABN Bible Movies (720p),,Movies;Religious,no-safe-match
ABNChina.us@SD,ABN China (720p),,Religious,no-safe-match
ABNTVIndia.us@SD,ABN TV India (540p),,Religious,no-safe-match
ABNUrdu.us@SD,ABN Urdu (540p),,Religious,no-safe-match
Access4PAC.us@SD,Access 4 PAC,,General,no-safe-match
Access19.us@SD,Access 19,,General,no-safe-match
AccessHumboldt.us@SD,Access Humboldt (1080p),,General,no-safe-match
AMP1.us@SD,Access Media Productions Channel (720p),,General,no-safe-match
AMP2.us@SD,Access Media Productions Community Channel (720p),,Culture,no-safe-match
TheCityofMarina.us@SD,Access Media Productions Marina TV (720p),,Legislative,no-safe-match
TheMontereyChannel.us@SD,Access Media Productions Monterey Channel (720p),,General,no-safe-match
ThePeninsulaChannel.us@SD,Access Media Productions Peninsula Channel (720p),,Legislative,no-safe-match
AccessNashua.us@SD,Access Nashua (720p),,General,no-safe-match
AccessSacramentoChannel17.us@SD,Access Sacramento Channel 17,,General,no-safe-match
AccessTuolumne.us@SD,Access Tuolumne (Tuolumne County CA) (720p),,General,no-safe-match
AccessVisionChannel16.us@SD,AccessVision Channel 16 (720p),,General,no-safe-match
AccessVisionChannel17.us@SD,AccessVision Channel 17 (720p),,Legislative,no-safe-match
ACTV.us@SD,ACTV,,Legislative,no-safe-match
AFTV.us@SD,AFTV (1080p),,General,no-safe-match
AFVEspanol.us@SD,AFV en Español (720p) [Not 24/7],,Comedy,no-safe-match
Akaku53.us@SD,Akaku 53 (Hawaii) (1080p),,General,no-safe-match
Akaku54.us@SD,Akaku 54 (Hawaii) (1080p),,General,no-safe-match
Akaku55.us@SD,Akaku 55 (Hawaii) (1080p),,General,no-safe-match
AKCTVMeettheBreeds.us@SD,AKC TV Meet The Breeds,,Outdoor,no-safe-match
AKCTVPuppies.us@SD,AKC TV Puppies 24/7,,Outdoor,no-safe-match
AlHorreyaTV.us@SD,Al Horreya TV (1080p),,Religious,no-safe-match
AlFadyTV.us@SD,Al-Fady TV (1080p) [Not 24/7],,Religious,no-safe-match
AlMahdiTV.us@SD,Al-MahdiTV (1080p),,Religious,no-safe-match
AlabamaWeatherNetwork.us@SD,Alabama Weather Network (720p),,Weather,no-safe-match
AlhurraIraq.us@SD,Alhurra Iraq (720p),,News,no-safe-match
AlientoVision.us@SD,Aliento Vision (720p) [Not 24/7],,Religious,no-safe-match
AlkarmaTVAustralia.us@SD,Alkarma TV Australia (1080p),,Religious,no-safe-match
AlkarmaTVFamily.us@SD,Alkarma TV Family (1080p) [Not 24/7],,Religious,no-safe-match
AlkarmaTVMiddleEast.us@SD,Alkarma TV Middle East (1080p) [Not 24/7],,Religious,no-safe-match
AlkarmaTVNorthAmericaCanada.us@SD,Alkarma TV North America & Canada (1080p) [Not 24/7],,Religious,no-safe-match
AlkarmaTVPraise.us@SD,Alkarma TV Praise (720p) [Not 24/7],,Religious,no-safe-match
AlkarmaTVTalmazaDiscipleship.us@SD,Alkarma TV Talmaza (Discipleship) (1080p) [Not 24/7],,Religious,no-safe-match
AlkarmaTVYouthEnglish.us@SD,Alkarma TV Youth & English (1080p) [Not 24/7],,Religious,no-safe-match
AlmagdTVMiddleEast.us@SD,Almagd TV Middle East (1080p) [Not 24/7],,Religious,no-safe-match
AlmagdTVNorthAmerica.us@SD,Almagd TV North America (1080p),,Religious,no-safe-match
AmazingFactsTV.us@SD,Amazing Facts TV (1080p),,Religious,no-safe-match
AbsoluteRealitybyWETV.us@SD,AMC Absolute Reality,,Entertainment,no-safe-match
AmericasTestKitchen.us@SD,America's Test Kitchen (1080p) [Geo-blocked],,Cooking,no-safe-match
AmericasVoice.us@SD,America's Voice (720p),,News,no-safe-match
AmericanHorrors.us@SD,American Horrors (480p),,Movies,no-safe-match
Ameritrade.us@SD,Ameritrade (1080p) [Not 24/7],,Business,no-safe-match
AMGATV.us@SD,Amga TV (720p) [Not 24/7],,General,no-safe-match
KETS21.us@HD,Arkansas PBS [Geo-blocked],,Education,no-safe-match
Armenia1.am@America,Armenia 1 America (1080p),,General,no-safe-match
ARTFLIXMovieClassics.us@SD,Artflix Movie Classics (720p),,Classic;Movies,no-safe-match
ARTNTV.us@SD,ARTN TV (1080p) [Not 24/7],,General,no-safe-match
AsianCultureTV.us@HD,Asian Culture TV (1080p),,General,no-safe-match
KBSV231.us@SD,AssyriaSat (720p) [Not 24/7],,General;Religious,no-safe-match
ATL26.us@SD,ATL 26,,Legislative,no-safe-match
AtlantaChannel.us@SD,Atlanta Channel (720p),,General,no-safe-match
Atlas.us@SD,Atlas (480p),,Documentary,no-safe-match
ATXN1.us@SD,ATXN1 (1080p),,Legislative,no-safe-match
ATXN2.us@SD,ATXN2 (1080p),,General;Legislative,no-safe-match
ATXN3.us@SD,ATXN3 (1080p),,Culture;General,no-safe-match
AuroraTV.us@SD,AuroraTV (Aurora CO) (720p),,General,no-safe-match
AutenticHistory.de@SD,Autentic History (1080p),,Documentary,no-safe-match
AutenticTravel.de@SD,Autentic Travel (1080p),,Lifestyle,no-safe-match
AvangTV.us@SD,Avang TV (1080p),,Music,no-safe-match
AWEInternational.us@SD,AWE International (720p),,General,no-safe-match
BabyFirst.us@US,BabyFirst (720p),,Kids,matched-but-zero-programmes
Backstage.us@SD,Backstage (1080p),,Documentary,no-safe-match
BarkTV.us@SD,Bark TV (1080p),,Entertainment,no-safe-match
BBCKids.us@SD,BBC Kids (720p),,Kids,no-safe-match
BeachTVFloridaAlabama.us@SD,Beach TV Florida & Alabama (720p),,Travel,no-safe-match
BeachTVKeyWestFloridaKeys.us@SD,Beach TV Key West & Florida Keys (720p),,Travel,no-safe-match
BeachTVMyrtleBeachTheGrandStrand.us@SD,Beach TV Myrtle Beach & The Grand Strand (720p),,Travel,no-safe-match
BeachTVPanamaCity.us@SD,Beach TV Panama City (720p),,Travel,no-safe-match
beINSportsUSA.us@SD,beIN Sports USA (1080p) [Geo-blocked],,Sports,no-safe-match
BEKNews.us@SD,BEK TV News (720p),,News,no-safe-match
BerksCommunityTV.us@SD,Berks Community TV (1080p),,General,no-safe-match
BetterHealthTV.us@SD,Better Health TV (480p),,Lifestyle,no-safe-match
BetterLifeNatureChannel.us@SD,Better Life Nature Channel (480p),,Relax,no-safe-match
BetterLifeTV.us@SD,Better Life TV (720p),,Religious,no-safe-match
BHTV10.us@SD,Beverly Hills Television 10 (720p),,Undefined,no-safe-match
BHTV35.us@SD,Beverly Hills Television 35 (720p),,Undefined,no-safe-match
BIGCivicChannel.us@SD,BIG Civic Channel,,General,no-safe-match
BIGCommunityChannel.us@SD,BIG Community Channel,,General,no-safe-match
Binge.us@SD,Binge,,General,no-safe-match
BlackNewsChannel.us@SD,Black News Channel (1080p),,News,no-safe-match
BloombergOriginals.us@SD,Bloomberg Originals (1080p),,Business;Documentary,matched-but-zero-programmes
BATVGovernmentTV.us@SD,Bloomfield Access Government TV (480p),,Legislative,no-safe-match
BATV.us@SD,Bloomfield Access TV Channel 5 (480p),,General,no-safe-match
BMCHDTV.us@SD,BMC-HD TV (720p),,General,no-safe-match
CVCEducation.us@SD,Bolton Community Voice Channel (CVC) Education (Bolton CT) (480p),,Education,no-safe-match
CVCGovernment.us@SD,Bolton Community Voice Channel (CVC) Government (Bolton CT) (480p),,Legislative,no-safe-match
CVCPublic.us@SD,Bolton Community Voice Channel (CVC) Public (Bolton CT) (480p),,General,no-safe-match
Bounce.us@SD,Bounce (1080p),,Undefined,no-safe-match
BPXTVRadio.us@SD,BPX TV Radio,,Music,no-safe-match
BrevardGovernmentAccessTV.us@SD,Brevard County Government Access TV (Brevard FL) (720p),,Legislative,no-safe-match
BPTV.us@SD,Buena Park Television (360p),,Legislative,no-safe-match
TheBurbankChannel.us@SD,Burbank Channel (720p),,General,no-safe-match
BusinessRockstars.us@SD,Business Rockstars (720p),,Business,no-safe-match
BUTV10.us@SD,BUTV10 (Boston University) (1080p) [Not 24/7],,Education,no-safe-match
BXArts.us@SD,BX Arts (720p),,Culture,no-safe-match
BXCulture.us@SD,BX Culture (720p),,Culture,no-safe-match
BXInform.us@SD,BX Inform (1080p),,General;News,no-safe-match
BXInspire.us@SD,BX Inspire (720p),,General;Religious,no-safe-match
BXOmni.us@SD,BX Omni (720p),,General,no-safe-match
CafeTradeTV.ir@SD,Cafe Trade TV,,Business,no-safe-match
CTV.us@SD,Calabasas Channel (480p),,Undefined,no-safe-match
CaliforniaMusicChannel.us@SD,California Music Channel (1080p),,Music,no-safe-match
CameraSmileTV.us@SD,Camera Smile (480p),,Comedy,no-safe-match
CANTV19.us@SD,CAN TV19 (1080p),,General,no-safe-match
CANTV21.us@SD,CAN TV21 (1080p),,General,no-safe-match
CANTV27.us@SD,CAN TV27 (1080p),,General,no-safe-match
CANTV36.us@SD,CAN TV36 (1080p),,General,no-safe-match
CanaldelaFe.us@SD,Canal de la Fe (720p),,Religious,no-safe-match
CityTVCarlsbad.us@SD,Carlsbad City TV Channel (Carlsbad CA) (720p),,General,no-safe-match
CBNEspanol.us@SD,CBN Espanol (1080p),,Religious,no-safe-match
CBNFamily.us@SD,CBN Family (1080p),,Religious,no-safe-match
KUTV21.us@HD,CBS 2 Salt Lake City UT (KUTV) (1080p),,General,no-safe-match
WWMT31.us@HD,CBS 3 Kalamazoo MI (WWMT) (1080p),,Undefined,no-safe-match
KMTVTV31.us@HD,CBS 3 Omaha NE (KMTV) (720p),,General,no-safe-match
KDBCTV41.us@HD,CBS 4 El Paso TX (KDBC) (1080p),,General,no-safe-match
WTVRTV61.us@HD,CBS 6 Richmond VA (WTVR) (720p),,Undefined,no-safe-match
