id,name,group,attempt,match_kind,match_score,candidate_xmltv_id,candidate_name,site,site_id,channel_file,guide_file,source_file,confidence_reason
BEKSports.us@West,BEK TV Sports West (720p),Sports,1,fuzzy,0.9474,,BEK Sports,tvpassport.com,bek-sports/14545,BEKSports_us_West.attempt1.channels.xml,BEKSports_us_West.attempt1.guide.xml,_iptv_epg/sites/tvpassport.com/tvpassport.com.channels.xml,
ESPNDeportes.us@SD,ESPN Deportes (720p),Sports,1,exact,1.0000,ESPNDeportes.us@SD,Canal ESPN Deportes,gatotv.com,espn_deportes,ESPNDeportes_us_SD.attempt1.channels.xml,ESPNDeportes_us_SD.attempt1.guide.xml,_iptv_epg/sites/gatotv.com/gatotv.com.channels.xml,
ESPNDeportes.us@SD,ESPN Deportes (720p),Sports,2,exact,1.0000,ESPNDeportes.us@SD,ESPN Deportes,tvtv.us,25595,ESPNDeportes_us_SD.attempt2.channels.xml,ESPNDeportes_us_SD.attempt2.guide.xml,_iptv_epg/sites/tvtv.us/tvtv.us.channels.xml,
ESPNU.us@SD,ESPNU (720p),Sports,1,exact,1.0000,ESPNU.us@SD,ESPN U,tvpassport.com,espn-u/3331,ESPNU_us_SD.attempt1.channels.xml,ESPNU_us_SD.attempt1.guide.xml,_iptv_epg/sites/tvpassport.com/tvpassport.com.channels.xml,
ESPNU.us@SD,ESPNU (720p),Sports,2,exact,1.0000,ESPNU.us@SD,ESPNU,ontvtonight.com,us#69026524/espnu,ESPNU_us_SD.attempt2.channels.xml,ESPNU_us_SD.attempt2.guide.xml,_iptv_epg/sites/ontvtonight.com/ontvtonight.com_us.channels.xml,
ESPNU.us@SD,ESPNU (720p),Sports,3,exact,1.0000,ESPNU.us@SD,ESPNU HDTV,ontvtonight.com,us#69031963/espnu-hdtv,ESPNU_us_SD.attempt3.channels.xml,ESPNU_us_SD.attempt3.guide.xml,_iptv_epg/sites/ontvtonight.com/ontvtonight.com_us.channels.xml,
ESPNU.us@SD,ESPNU (720p),Sports,4,exact,1.0000,ESPNU.us@SD,ESPNU,tvguide.com,9233011350,ESPNU_us_SD.attempt4.channels.xml,ESPNU_us_SD.attempt4.guide.xml,_iptv_epg/sites/tvguide.com/tvguide.com.channels.xml,
ESPNU.us@SD,ESPNU (720p),Sports,5,exact,1.0000,ESPNU.us@SD,ESPNU,tvtv.us,45654,ESPNU_us_SD.attempt5.channels.xml,ESPNU_us_SD.attempt5.guide.xml,_iptv_epg/sites/tvtv.us/tvtv.us.channels.xml,
F1Channel.ie@US,F1 Channel (1080p) [Geo-blocked],Sports,1,exact,1.0000,F1Channel.ie@US,F1 Channel,i.mjh.nz,Plex/us#5e20b730f2f8d5003d739db7-6896595a58a6658b3d6a501a,F1Channel_ie_US.attempt1.channels.xml,F1Channel_ie_US.attempt1.guide.xml,_iptv_epg/sites/i.mjh.nz/i.mjh.nz_plex.channels.xml,
F1Channel.ie@US,F1 Channel (1080p) [Geo-blocked],Sports,2,exact,1.0000,F1Channel.ie@US,F1 Channel,i.mjh.nz,Roku/all#d2564cef9feeec6c58a076d6f6a90491,F1Channel_ie_US.attempt2.channels.xml,F1Channel_ie_US.attempt2.guide.xml,_iptv_epg/sites/i.mjh.nz/i.mjh.nz_roku.channels.xml,
F1Channel.ie@US,F1 Channel (1080p) [Geo-blocked],Sports,3,exact,1.0000,F1Channel.ie@US,F1 Channel,plex.tv,6896595a58a6658b3d6a501a,F1Channel_ie_US.attempt3.channels.xml,F1Channel_ie_US.attempt3.guide.xml,_iptv_epg/sites/plex.tv/plex.tv_us.channels.xml,
NBCSportsNOW.us@SD,NBC Sports NOW (1080p),Sports,1,exact,1.0000,NBCSportsNOW.us@SD,NBC Sports NOW,i.mjh.nz,Plex/us#5e20b730f2f8d5003d739db7-5fc70600598c41002da3dd43,NBCSportsNOW_us_SD.attempt1.channels.xml,NBCSportsNOW_us_SD.attempt1.guide.xml,_iptv_epg/sites/i.mjh.nz/i.mjh.nz_plex.channels.xml,
