id,name,group,exact_mappings,attempts_prepared
30AGolfKingdom.us@SD,30A Golf Kingdom (720p),Sports,0,0
BEKSports.us@West,BEK TV Sports West (720p),Sports,0,1
ESPNDeportes.us@SD,ESPN Deportes (720p),Sports,2,2
ESPNU.us@SD,ESPNU (720p),Sports,5,5
F1Channel.ie@US,F1 Channel (1080p) [Geo-blocked],Sports,3,3
MMATV.us@SD,MMA-TV (576p),Sports,0,0
NBCSportsNOW.us@SD,NBC Sports NOW (1080p),Sports,4,4
NFLChannel.us@SD,NFL Channel (1080p) [Geo-blocked],Sports,6,5
RallyTV.us@SD,Rally TV (1080p),Sports,0,0
REVNAction.us@SD,Rev'n Action (720p),Auto;Outdoor;Series;Sports,0,0
SlopesTV.us@SD,Slopes TV (720p),Sports,10,5
TVSBowlingNetwork.us@SD,TVS Bowling Network (720p),Sports,0,0
TVSSports.us@SD,TVS Sports (720p) [Not 24/7],Sports,0,0
TVSSportsBureau.us@SD,TVS Sports Bureau (720p),Sports,0,0
TennisChannel.us@SD,Tennis Channel (1080p),Sports,9,5
USANetwork.us@East,USA Network (1080p),Comedy;Movies;Series;Sports,2,2
XFCTV.us@SD,XFC TV (720p),Sports,9,5
30AGeorgiaHollywoodReview.us@SD,30A Georgia Hollywood Review TV (720p),Entertainment;News,0,0
30ALionelNation.us@SD,30A Lionel Nation TV,News,0,0
30ALoomeredTV.us@SD,30A Loomered TV,Documentary;News,0,0
WPLG101.us@HD,ABC (WPLG-DT1) Miami FL (720p),News,3,3
WMARTV21.us@HD,ABC 2 Baltimore MD (WMAR) (720p),News,3,3
WTXLTV271.us@HD,ABC 27 Tallahassee FL (WTXL) (720p),News,3,3
WMURTV91.us@HD,ABC 9 Manchester NH (WMUR-TV) (720p),News;Weather,2,2
WFTV91.us@HD,ABC 9 Orlando FL (WFTV) (720p),News,5,5
WWAY31.us@HD,ABC WWAY 3,News,3,3
AlhurraIraq.us@SD,Alhurra Iraq (720p),News,0,0
AmuTV.us@SD,Amu TV,News,0,0
BEKNews.us@SD,BEK TV News (720p),News,0,0
BXInform.us@SD,BX Inform (1080p),General;News,0,0
BlackNewsChannel.us@SD,Black News Channel (1080p),News,0,0
ChannelOne.us@SD,Channel One,Culture;News,0,3
DidgahTV.us@SD,Didgah TV (576p),News,0,0
EntertainmentTonight.us@SD,Entertainment Tonight (1080p),Entertainment;News,6,5
FoxNewsRadio.us@SD,Fox News Radio (720p),News,0,0
