id,name,group,exact_mapping_count,safe_candidate_count,discovery_class,best_candidate,best_site,best_score
30AGolfKingdom.us@SD,30A Golf Kingdom (720p),Sports,0,0,NEW_SOURCE_NEEDED,,,
ESPNDeportes.us@SD,ESPN Deportes (720p),Sports,2,0,EXACT_IPTVORG,,,
ESPNU.us@SD,ESPNU (720p),Sports,5,0,EXACT_IPTVORG,,,
MMATV.us@SD,MMA-TV (576p),Sports,0,0,NEW_SOURCE_NEEDED,,,
NFLNetwork.us@SD,NFL Network (720p),Sports,9,0,EXACT_IPTVORG,,,
RallyTV.us@SD,Rally TV (1080p),Sports,0,0,NEW_SOURCE_NEEDED,,,
REVNAction.us@SD,Rev'n Action (720p),Auto;Outdoor;Series;Sports,0,0,NEW_SOURCE_NEEDED,,,
TVSBowlingNetwork.us@SD,TVS Bowling Network (720p),Sports,0,0,NEW_SOURCE_NEEDED,,,
TVSBoxing.us@SD,TVS Boxing (360p),Sports,1,0,EXACT_IPTVORG,,,
TVSClassicSports.us@SD,TVS Classic Sports (360p),Sports,1,0,EXACT_IPTVORG,,,
TVSSports.us@SD,TVS Sports (720p) [Not 24/7],Sports,0,0,NEW_SOURCE_NEEDED,,,
TVSSportsBureau.us@SD,TVS Sports Bureau (720p),Sports,0,0,NEW_SOURCE_NEEDED,,,
TVSTurbo.us@SD,TVS Turbo (360p),Sports,1,0,EXACT_IPTVORG,,,
TVSWomenSports.us@SD,TVS Women Sports (720p),Sports,1,0,EXACT_IPTVORG,,,
TennisChannel.us@SD,Tennis Channel (1080p),Sports,9,0,EXACT_IPTVORG,,,
USANetwork.us@East,USA Network (1080p),Comedy;Movies;Series;Sports,2,0,EXACT_IPTVORG,,,
beINSportsUSA.us@SD,beIN Sports USA (1080p) [Geo-blocked],Sports,7,0,EXACT_IPTVORG,,,
30AGeorgiaHollywoodReview.us@SD,30A Georgia Hollywood Review TV (720p),Entertainment;News,0,0,NEW_SOURCE_NEEDED,,,
30ALionelNation.us@SD,30A Lionel Nation TV,News,0,0,NEW_SOURCE_NEEDED,,,
30ALoomeredTV.us@SD,30A Loomered TV,Documentary;News,0,0,NEW_SOURCE_NEEDED,,,
AlhurraIraq.us@SD,Alhurra Iraq (720p),News,0,0,NEW_SOURCE_NEEDED,,,
AmericasVoice.us@SD,America's Voice (720p),News,1,0,EXACT_IPTVORG,,,
AmuTV.us@SD,Amu TV,News,0,0,NEW_SOURCE_NEEDED,,,
BEKNews.us@SD,BEK TV News (720p),News,0,0,NEW_SOURCE_NEEDED,,,
BXInform.us@SD,BX Inform (1080p),General;News,0,0,NEW_SOURCE_NEEDED,,,
BlackNewsChannel.us@SD,Black News Channel (1080p),News,0,0,NEW_SOURCE_NEEDED,,,
DidgahTV.us@SD,Didgah TV (576p),News,0,0,NEW_SOURCE_NEEDED,,,
FoxNewsRadio.us@SD,Fox News Radio (720p),News,0,0,NEW_SOURCE_NEEDED,,,
KBPXLD465.us@SD,Geb Tv (KBPX LD5) (1080p),Culture;News,0,0,NEW_SOURCE_NEEDED,,,
KPVMLD254.us@SD,KPVM OAN Plus,News,0,0,NEW_SOURCE_NEEDED,,,
KPVMLD253.us@HD,KPVM Real America's Voice,News,0,0,NEW_SOURCE_NEEDED,,,
LindellTV.us@SD,Lindell TV (720p),News,0,0,NEW_SOURCE_NEEDED,,,
NewsoftheWorld.us@Arabic,NOW News Arabic (720p),News,0,0,NEW_SOURCE_NEEDED,,,
NewsoftheWorld.us@Spanish,NOW News Spanish (1080p),News,0,0,NEW_SOURCE_NEEDED,,,
NewsoftheWorld.us@USA,NOW News USA (1080p),News,0,0,NEW_SOURCE_NEEDED,,,
NTDTVEnglish.us@USA,NTD TV English (1080p),General;News,0,0,NEW_SOURCE_NEEDED,,,
News12Conneticut.us@SD,News12 Conneticut [Geo-blocked],News,1,0,EXACT_IPTVORG,,,
News12LongIsland.us@SD,News12 Long Island (1080p) [Geo-blocked],News,1,0,EXACT_IPTVORG,,,
News12PlusConnecticut.us@HD,News12+ Connecticut (1080p) [Geo-blocked],News,0,0,NEW_SOURCE_NEEDED,,,
News12PlusHudsonValley.us@HD,News12+ Hudson Valley (1080p) [Geo-blocked],News,0,0,NEW_SOURCE_NEEDED,,,
News12PlusLongIsland.us@HD,News12+ Long Island (1080p) [Geo-blocked],News,0,0,NEW_SOURCE_NEEDED,,,
News12PlusNewJersey.us@HD,News12+ New Jersey (1080p) [Geo-blocked],News,0,0,NEW_SOURCE_NEEDED,,,
News12PlusNewYork.us@HD,News12+ New York (1080p) [Geo-blocked],News,0,0,NEW_SOURCE_NEEDED,,,
NewsNet.us@SD,NewsNet (720p) [Not 24/7],News,1,0,EXACT_IPTVORG,,,
NewsmaxSpanish.us@SD,Newsmax Spanish (1080p),News,0,0,NEW_SOURCE_NEEDED,,,
PayvandTV.us@SD,Payvand TV (720p),News,0,0,NEW_SOURCE_NEEDED,,,
RedseatTheFirst.us@SD,Redseat The First (720p),News,0,0,NEW_SOURCE_NEEDED,,,
SCCurrents.us@SD,SC Currents,News,0,0,NEW_SOURCE_NEEDED,,,
TheYoungTurks.us@SD,The Young Turks (1080p) [Geo-blocked],News,0,0,NEW_SOURCE_NEEDED,,,
TopStoriesbyNewsy.us@SD,Top Stories by Newsy (720p),News,0,0,NEW_SOURCE_NEEDED,,,
VoATVPersian.us@SD,VOA Persian (1080p),News,0,0,NEW_SOURCE_NEEDED,,,
VoATV.us@SD,VOA TV Africa (1080p),News,0,0,NEW_SOURCE_NEEDED,,,
W14DKD142.us@SD,W14DK-D 14.2 NEWSNET,News,0,0,NEW_SOURCE_NEEDED,,,
WGALDT3.us@SD,WGAL-DT3 (1080p) [Geo-blocked],News,0,0,NEW_SOURCE_NEEDED,,,
WGGSTV162.us@SD,WGGS-DT2 (720p),News,0,0,NEW_SOURCE_NEEDED,,,
WSOCNow.us@SD,WSOC Now (1080p) [Geo-blocked],News,0,0,NEW_SOURCE_NEEDED,,,
ZoomNews.us@SD,Zoom TV Kurdish (720p),News,0,0,NEW_SOURCE_NEEDED,,,
30ASidewalks.us@SD,30A Sidewalks (720p),Entertainment,0,0,NEW_SOURCE_NEEDED,,,
30ATelevisionChannel.us@SD,30A Television Channel (720p),Entertainment,0,0,NEW_SOURCE_NEEDED,,,
AbsoluteRealitybyWETV.us@SD,AMC Absolute Reality,Entertainment,0,0,NEW_SOURCE_NEEDED,,,
BarkTV.us@SD,Bark TV (1080p),Entertainment,0,0,NEW_SOURCE_NEEDED,,,
MeritStreet.us@SD,Dr Phil's MeritTV (1080p),Entertainment,0,0,NEW_SOURCE_NEEDED,,,
FreebieTV.us@SD,Freebie TV (720p) [Not 24/7],Entertainment,0,0,NEW_SOURCE_NEEDED,,,
GalxyTV.us@SD,Galxy TV (720p),Entertainment,9,0,EXACT_IPTVORG,,,
GlobalWorldTV.us@SD,GlobalWorldTV (720p),Entertainment,0,0,NEW_SOURCE_NEEDED,,,
Heartland.us@Eastern,Heartland (720p),Entertainment,1,0,EXACT_IPTVORG,,,
KContentbyCJENM.us@SD,K Content by CJ ENM (1080p),Entertainment,0,0,NEW_SOURCE_NEEDED,,,
KCKSLD253.us@HD,KCKS-LD 25.3 (720p),Entertainment,0,0,NEW_SOURCE_NEEDED,,,
KFTRDT461.us@HD,KFTR-DT1 [Geo-blocked],Entertainment,2,0,EXACT_IPTVORG,,,
KQED92.us@HD,KQED-DT2 (1080p),Entertainment,1,0,EXACT_IPTVORG,,,
KRGVTV52.us@HD,KRGV-DT2 [Geo-blocked],Entertainment,0,0,NEW_SOURCE_NEEDED,,,
KVIE62.us@HD,KVIE-DT2 (1080p),Entertainment,0,0,NEW_SOURCE_NEEDED,,,
KVVBLD331.us@SD,KVVB-TV 33 Victor Valley (1080p) [Not 24/7],Entertainment,0,0,NEW_SOURCE_NEEDED,,,
MCN6MainChannel.us@SD,MCN6 (1080p) [Not 24/7],Entertainment;General,0,0,NEW_SOURCE_NEEDED,,,
MTV.us@East,MTV (720p),Entertainment,3,0,EXACT_IPTVORG,,,
MTV2.us@East,MTV2 (1080p),Entertainment,4,0,EXACT_IPTVORG,,,
NBCLX.us@SD,NBCLX (1080p),Entertainment,2,0,EXACT_IPTVORG,,,
Olelo55.us@SD,Olelo Community Media Channel 55 (720p),Entertainment,0,0,NEW_SOURCE_NEEDED,,,
OmideIranTV.us@SD,Omide Iran,Entertainment,0,0,NEW_SOURCE_NEEDED,,,
Oxygen.us@East,Oxygen (720p),Entertainment,4,0,EXACT_IPTVORG,,,
Roar.us@SD,Roar (1080p),Entertainment,0,0,NEW_SOURCE_NEEDED,,,
StarChannelInternational.gr@HD,STAR International (720p),Entertainment,0,0,NEW_SOURCE_NEEDED,,,
Shabakeh7.us@SD,Shabakeh 7,Entertainment,0,0,NEW_SOURCE_NEEDED,,,
TVSFlashbackNetwork.us@SD,TVS Flashback Network (360p),Entertainment,0,0,NEW_SOURCE_NEEDED,,,
TVSVintageNetwork.us@SD,TVS Vintage Network (360p),Entertainment,0,0,NEW_SOURCE_NEEDED,,,
TalkinLiveClassicsTV.us@SD,Talkin Live Classics TV (480p),Entertainment,0,0,NEW_SOURCE_NEEDED,,,
TeleBoston.us@SD,Tele Boston (480p),Entertainment,0,0,NEW_SOURCE_NEEDED,,,
TeleMIX.us@SD,TeleMIX (720p),Entertainment,0,0,NEW_SOURCE_NEEDED,,,
TelemundoCorpusChristi.us@SD,Telemundo Corpus Christi (720p),Entertainment,0,0,NEW_SOURCE_NEEDED,,,
TinTV.us@SD,Tin TV (720p),Entertainment,0,0,NEW_SOURCE_NEEDED,,,
TurismoHD.do@HD,Turismo HD (720p),Entertainment,0,0,NEW_SOURCE_NEEDED,,,
WWONTVChannel48.us@SD,WWON TV CH 48,Entertainment,0,0,NEW_SOURCE_NEEDED,,,
YTATV.us@SD,YTA TV (720p),Entertainment,0,0,NEW_SOURCE_NEEDED,,,
YoungHollywood.us@SD,Young Hollywood (1080p) [Geo-blocked],Entertainment,0,0,NEW_SOURCE_NEEDED,,,
TNTInternational.ru@SD,"like Gecko) Chrome/144.0.0.0 Safari/537.36"" group-title=""Entertainment"",ТНТ International (480p)",Entertainment,0,0,NEW_SOURCE_NEEDED,,,
ETVTelugu.in@USA,"like Gecko) Chrome/145.0.0.0 Safari/537.36"" group-title=""Entertainment"",ETV Telugu USA (720p)",Entertainment,0,0,NEW_SOURCE_NEEDED,,,
KCWX351.us@HD,myTV San Antonio TX (KCWX-TV) (720p) [Not 24/7],Entertainment,0,0,NEW_SOURCE_NEEDED,,,
30ATVClassicMovies.us@SD,30A TV Classic Movies (720p),Movies,0,0,NEW_SOURCE_NEEDED,,,
ABNBibleMoviesChannel.us@SD,ABN Bible Movies (720p),Movies;Religious,0,0,NEW_SOURCE_NEEDED,,,
AmericanHorrors.us@SD,American Horrors (480p),Movies,0,0,NEW_SOURCE_NEEDED,,,
ARTFLIXMovieClassics.us@SD,Artflix Movie Classics (720p),Classic;Movies,0,1,SAFE_FUZZY_IPTVORG,ARTFLIX - Movie Classics,epgshare01.online,0.9524
Cinevault80s.us@SD,Cinevault 80s (720p),Movies,1,0,EXACT_IPTVORG,,,
EBSCinema.us@SD,EBS Cinema (720p),Movies,0,0,NEW_SOURCE_NEEDED,,,
FilmRiseForensicFiles.us@SD,Forensic Files (720p) [Geo-blocked],Movies,1,0,EXACT_IPTVORG,,,
GirlfriendsFilms.us@SD,Girlfriends,Movies,2,0,EXACT_IPTVORG,,,
GrjngoWesternMovies.de@SD,Grjngo Western Movies (720p),Movies,8,0,EXACT_IPTVORG,,,
MagnificentMoviesNetwork.us@SD,Magnificent Movies Network,Movies;Shop,0,0,NEW_SOURCE_NEEDED,,,
Runtime.us@SD,Runtime (720p),Movies,7,0,EXACT_IPTVORG,,,
SonyCanalNovelas.us@SD,Sony Canal Novelas,Movies,1,0,EXACT_IPTVORG,,,
TVSDriveInMovie.us@SD,TVS Drive In Movie (360p),Movies,1,0,EXACT_IPTVORG,,,
TVSFilmNoirNetwork.us@SD,TVS Film Noir Network (720p),Movies,1,0,EXACT_IPTVORG,,,
WhiplashCinema.us@SD,Whiplash Cinema (480p),Movies,0,0,NEW_SOURCE_NEEDED,,,
UniversalComedy.us@SD,"like Gecko) Chrome/124.0.0.0 Safari/537.36"" group-title=""Comedy;Movies;Series"",Universal Comedy (1080p)",Comedy;Movies;Series,1,0,EXACT_IPTVORG,,,
LoveHipHop.us@SD,Love & Hip Hop,Series,4,0,EXACT_IPTVORG,,,
Survivor.us@SD,Survivor (1080p),Series,3,0,EXACT_IPTVORG,,,
TheChatShowChannel.uk@SD,The Chat Show Channel (1080p),Comedy;Series,0,0,NEW_SOURCE_NEEDED,,,
WildNOut.us@SD,Wild 'N Out,Series,4,0,EXACT_IPTVORG,,,
3ABNKids.us@SD,3ABN Kids Network,Animation;Kids;Religious,0,1,SAFE_FUZZY_IPTVORG,3ABN Kids Network,epgshare01.online,1.0000
BBCKids.us@SD,BBC Kids (720p),Kids,0,2,SAFE_FUZZY_IPTVORG,BBC Kids,i.mjh.nz,0.9333
BabyFirst.us@US,BabyFirst (720p),Kids,2,0,EXACT_IPTVORG,,,
ChristianYouthChannelCYC.us@SD,Christian Youth Channel (CYC) (1080p),Kids;Religious,0,0,NEW_SOURCE_NEEDED,,,
GiggleMug.us@SD,Giggle Mug (576p),Kids,0,0,NEW_SOURCE_NEEDED,,,
KetchupTV.us@SD,Ketchup TV (720p),Kids,1,0,EXACT_IPTVORG,,,
LogosTVKids.es@SD,Logos TV Kids (720p) [Not 24/7],Kids;Religious,0,0,NEW_SOURCE_NEEDED,,,
MBC3USA.us@SD,MBC 3 USA (1080p) [Geo-blocked],Kids,3,0,EXACT_IPTVORG,,,
MCN6MusicChannel.us@SD,MCN6 Music Channel (1080p) [Not 24/7],Animation;Kids;Music,0,0,NEW_SOURCE_NEEDED,,,
NCMEducationalKidsChannel.us@SD,NCM Educational & Kids Channel,Education;Kids,0,0,NEW_SOURCE_NEEDED,,,
PBSKidsAlaska.us@SD,PBS Kids Alaska (1080p),Education;Kids,0,0,NEW_SOURCE_NEEDED,,,
PBSKidsEasternCentral.us@SD,PBS Kids Eastern/Central (720p),Education;Kids,1,0,EXACT_IPTVORG,,,
PBSKidsHawaii.us@SD,PBS Kids Hawaii (720p),Education;Kids,0,0,NEW_SOURCE_NEEDED,,,
PBSKidsMountain.us@SD,PBS Kids Mountain (1080p),Education;Kids,0,0,NEW_SOURCE_NEEDED,,,
PBSKidsPacific.us@SD,PBS Kids Pacific (1080p),Education;Kids,0,0,NEW_SOURCE_NEEDED,,,
PlutoTVPokemon.us@US,Pokémon,Animation;Kids,2,0,EXACT_IPTVORG,,,
SuperSimpleSongs.us@SD,Super Simple Songs (1080p),Kids,1,0,EXACT_IPTVORG,,,
TVSHiTops.us@SD,TVS Hi Tops (720p),Kids,1,0,EXACT_IPTVORG,,,
TVSPinballNetwork.us@SD,TVS Pinball Network (480p),Kids,1,0,EXACT_IPTVORG,,,
TomAndJerry.do@HD,Tom And Jerry (720p),Kids,0,0,NEW_SOURCE_NEEDED,,,
WatchitKID.us@SD,Watch it KID! (720p),Kids,8,0,EXACT_IPTVORG,,,
Atlas.us@SD,Atlas (480p),Documentary,0,0,NEW_SOURCE_NEEDED,,,
AutenticHistory.de@SD,Autentic History (1080p),Documentary,1,0,EXACT_IPTVORG,,,
Backstage.us@SD,Backstage (1080p),Documentary,4,0,EXACT_IPTVORG,,,
BloombergOriginals.us@SD,Bloomberg Originals (1080p),Business;Documentary,16,0,EXACT_IPTVORG,,,
Crime360.us@SD,Crime 360 (720p),Documentary,6,0,EXACT_IPTVORG,,,
Dateline247.us@SD,Dateline 24/7 (1080p),Documentary,6,0,EXACT_IPTVORG,,,
Docurama.us@SD,Docurama (1080p),Documentary,1,0,EXACT_IPTVORG,,,
INWILD.nl@SD,INWILD (1080p),Documentary,1,0,EXACT_IPTVORG,,,
KPVMLD256.us@SD,KPVM Story Television,Documentary,0,0,NEW_SOURCE_NEEDED,,,
KTOOTV33.us@HD,KTOO 360TV 3 (FNX),Documentary,0,0,NEW_SOURCE_NEEDED,,,
LoveThePlanet.es@EN,Love the Planet (1080p),Documentary,2,0,EXACT_IPTVORG,,,
NationalGeographic.us@East,National Geographic (720p),Documentary,4,0,EXACT_IPTVORG,,,
NationalGeographicWild.us@East,National Geographic Wild (720p),Documentary,4,0,EXACT_IPTVORG,,,
TerraMaterWILD.de@English,Terra Mater WILD English (1080p),Documentary,1,0,EXACT_IPTVORG,,,
30ARidiculousTV.us@SD,30A Ridiculous TV (720p),Comedy,0,0,NEW_SOURCE_NEEDED,,,
AFVEspanol.us@SD,AFV en Español (720p) [Not 24/7],Comedy,0,0,NEW_SOURCE_NEEDED,,,
CameraSmileTV.us@SD,Camera Smile (480p),Comedy,0,0,NEW_SOURCE_NEEDED,,,
TVSComedyNetwork.us@SD,TVS Comedy Network (720p),Comedy,1,0,EXACT_IPTVORG,,,
HumorMill.us@SD,"like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0"" group-title=""Comedy"",Humor Mill (1080p)",Comedy,9,0,EXACT_IPTVORG,,,
Placid.us@EastHD,Placid (1080p) [Not 24/7],Animation,0,0,NEW_SOURCE_NEEDED,,,
