id,name,group,match_kind,match_score,candidate_xmltv_id,candidate_name,site,attempt_used,programmes,success
30AGolfKingdom.us@SD,30A Golf Kingdom (720p),Sports,,,,,,,0,NO
BEKSports.us@West,BEK TV Sports West (720p),Sports,fuzzy,0.9474,,BEK Sports,tvpassport.com,1,15,YES
ESPNDeportes.us@SD,ESPN Deportes (720p),Sports,exact,1.0000,ESPNDeportes.us@SD,Canal ESPN Deportes,gatotv.com,1,20,YES
ESPNU.us@SD,ESPNU (720p),Sports,exact,1.0000,ESPNU.us@SD,ESPN U,tvpassport.com,1,13,YES
F1Channel.ie@US,F1 Channel (1080p) [Geo-blocked],Sports,exact,1.0000,F1Channel.ie@US,F1 Channel,i.mjh.nz,2,13,YES
MMATV.us@SD,MMA-TV (576p),Sports,,,,,,,0,NO
NBCSportsNOW.us@SD,NBC Sports NOW (1080p),Sports,exact,1.0000,NBCSportsNOW.us@SD,NBC Sports NOW,i.mjh.nz,2,13,YES
NFLChannel.us@SD,NFL Channel (1080p) [Geo-blocked],Sports,exact,1.0000,NFLChannel.us@SD,NFL Channel,i.mjh.nz,2,9,YES
RallyTV.us@SD,Rally TV (1080p),Sports,,,,,,,0,NO
REVNAction.us@SD,Rev'n Action (720p),Auto;Outdoor;Series;Sports,,,,,,,0,NO
SlopesTV.us@SD,Slopes TV (720p),Sports,exact,1.0000,SlopesTV.us@SD,SLOPES,i.mjh.nz,1,12,YES
TVSBowlingNetwork.us@SD,TVS Bowling Network (720p),Sports,,,,,,,0,NO
TVSSports.us@SD,TVS Sports (720p) [Not 24/7],Sports,,,,,,,0,NO
TVSSportsBureau.us@SD,TVS Sports Bureau (720p),Sports,,,,,,,0,NO
TennisChannel.us@SD,Tennis Channel (1080p),Sports,exact,1.0000,TennisChannel.us@SD,The Tennis Channel HD,tvpassport.com,1,4,YES
USANetwork.us@East,USA Network (1080p),Comedy;Movies;Series;Sports,exact,1.0000,USANetwork.us@East,USA,tvguide.com,1,27,YES
XFCTV.us@SD,XFC TV (720p),Sports,exact,1.0000,XFCTV.us@SD,XFC TV,i.mjh.nz,1,5,YES
30AGeorgiaHollywoodReview.us@SD,30A Georgia Hollywood Review TV (720p),Entertainment;News,,,,,,,0,NO
30ALionelNation.us@SD,30A Lionel Nation TV,News,,,,,,,0,NO
30ALoomeredTV.us@SD,30A Loomered TV,Documentary;News,,,,,,,0,NO
WPLG101.us@HD,ABC (WPLG-DT1) Miami FL (720p),News,exact,1.0000,WPLG101.us@HD,"ABC (WPLG) Miami, FL HD",tvpassport.com,1,31,YES
WMARTV21.us@HD,ABC 2 Baltimore MD (WMAR) (720p),News,exact,1.0000,WMARTV21.us@HD,"ABC (WMAR) Baltimore, MD HD",tvpassport.com,1,34,YES
WTXLTV271.us@HD,ABC 27 Tallahassee FL (WTXL) (720p),News,exact,1.0000,WTXLTV271.us@HD,"ABC (WTXL) Tallahassee, FL HD",tvpassport.com,1,32,YES
WMURTV91.us@HD,ABC 9 Manchester NH (WMUR-TV) (720p),News;Weather,exact,1.0000,WMURTV91.us@HD,"ABC (WMUR) Manchester, NH HD",tvpassport.com,1,28,YES
WFTV91.us@HD,ABC 9 Orlando FL (WFTV) (720p),News,exact,1.0000,WFTV91.us@HD,"ABC (WFTV) Orlando, FL HD",tvpassport.com,1,33,YES
WWAY31.us@HD,ABC WWAY 3,News,exact,1.0000,WWAY31.us@HD,"ABC (WWAY) Wilmington, NC HD",tvpassport.com,1,32,YES
AlhurraIraq.us@SD,Alhurra Iraq (720p),News,,,,,,,0,NO
