id,name,group,site,site_id,xmltv_id,safe,channel_file,guide_file,source_file
ESPNDeportes.us@SD,ESPN Deportes,Sports,tvtv.us,25595,ESPNDeportes.us@SD,ESPNDeportes_us_SD,ESPNDeportes_us_SD.channels.xml,ESPNDeportes_us_SD.guide.xml,_iptv_epg/sites/tvtv.us/tvtv.us.channels.xml
ESPNU.us@SD,ESPNU,Sports,ontvtonight.com,us#69026524/espnu,ESPNU.us@SD,ESPNU_us_SD,ESPNU_us_SD.channels.xml,ESPNU_us_SD.guide.xml,_iptv_epg/sites/ontvtonight.com/ontvtonight.com_us.channels.xml
F1Channel.ie@US,F1 Channel,Sports,i.mjh.nz,Plex/us#5e20b730f2f8d5003d739db7-6896595a58a6658b3d6a501a,F1Channel.ie@US,F1Channel_ie_US,F1Channel_ie_US.channels.xml,F1Channel_ie_US.guide.xml,_iptv_epg/sites/i.mjh.nz/i.mjh.nz_plex.channels.xml
NBCSportsNOW.us@SD,NBC Sports NOW,Sports,i.mjh.nz,Plex/us#5e20b730f2f8d5003d739db7-5fc70600598c41002da3dd43,NBCSportsNOW.us@SD,NBCSportsNOW_us_SD,NBCSportsNOW_us_SD.channels.xml,NBCSportsNOW_us_SD.guide.xml,_iptv_epg/sites/i.mjh.nz/i.mjh.nz_plex.channels.xml
NFLChannel.us@SD,NFL Channel,Sports,i.mjh.nz,Plex/us#5e20b730f2f8d5003d739db7-61e805952502a7a6fa84d70f,NFLChannel.us@SD,NFLChannel_us_SD,NFLChannel_us_SD.channels.xml,NFLChannel_us_SD.guide.xml,_iptv_epg/sites/i.mjh.nz/i.mjh.nz_plex.channels.xml
NFLNetwork.us@SD,The NFL Network,Sports,ontvtonight.com,us#69023748/the-nfl-network,NFLNetwork.us@SD,NFLNetwork_us_SD,NFLNetwork_us_SD.channels.xml,NFLNetwork_us_SD.guide.xml,_iptv_epg/sites/ontvtonight.com/ontvtonight.com_us.channels.xml
SlopesTV.us@SD,Slopes TV,Sports,distro.tv,42167,SlopesTV.us@SD,SlopesTV_us_SD,SlopesTV_us_SD.channels.xml,SlopesTV_us_SD.guide.xml,_iptv_epg/sites/distro.tv/distro.tv.channels.xml
TVSBoxing.us@SD,TVS Boxing Network,Sports,watchyour.tv,786,TVSBoxing.us@SD,TVSBoxing_us_SD,TVSBoxing_us_SD.channels.xml,TVSBoxing_us_SD.guide.xml,_iptv_epg/sites/watchyour.tv/watchyour.tv.channels.xml
TVSClassicSports.us@SD,TVS Classic Sports,Sports,watchyour.tv,735,TVSClassicSports.us@SD,TVSClassicSports_us_SD,TVSClassicSports_us_SD.channels.xml,TVSClassicSports_us_SD.guide.xml,_iptv_epg/sites/watchyour.tv/watchyour.tv.channels.xml
TVSTurbo.us@SD,TVS Turbo Network,Sports,watchyour.tv,793,TVSTurbo.us@SD,TVSTurbo_us_SD,TVSTurbo_us_SD.channels.xml,TVSTurbo_us_SD.guide.xml,_iptv_epg/sites/watchyour.tv/watchyour.tv.channels.xml
TVSWomenSports.us@SD,TVS Women's Sports Network,Sports,watchyour.tv,798,TVSWomenSports.us@SD,TVSWomenSports_us_SD,TVSWomenSports_us_SD.channels.xml,TVSWomenSports_us_SD.guide.xml,_iptv_epg/sites/watchyour.tv/watchyour.tv.channels.xml
TennisChannel.us@SD,The Tennis,Sports,tvguide.com,9200017917,TennisChannel.us@SD,TennisChannel_us_SD,TennisChannel_us_SD.channels.xml,TennisChannel_us_SD.guide.xml,_iptv_epg/sites/tvguide.com/tvguide.com.channels.xml
USANetwork.us@East,USA,Comedy;Movies;Series;Sports,tvguide.com,9233004106,USANetwork.us@East,USANetwork_us_East,USANetwork_us_East.channels.xml,USANetwork_us_East.guide.xml,_iptv_epg/sites/tvguide.com/tvguide.com.channels.xml
